year,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
ARG,4.85,5.2,5.67,5.94,6.31,6.85,7.3,7.85,8.37,8.64,8.73,9.38,9.51
BRB,4.63,4.79,4.97,6.61,8.31,7.65,7.31,7.98,8.45,8.88,8.81,9.34,9.45
BLZ,7.23,7.4,7.49,7.81,7.74,7.95,7.69,7.91,8.76,9.4,10.08,10.76,11.29
BOL,2.32,2.67,3.06,3.57,4,4.6,5.48,6.38,7.26,7.83,8.29,8.49,8.25
BRA,2.08,2.29,2.55,2.85,3.29,2.9,3.04,3.94,4.69,5.58,6.52,7.29,7.89
CHL,4.81,4.98,5.22,5.66,6.09,6.57,6.95,7.65,8.36,8.78,9.07,9.67,9.78
COL,2.33,2.68,3.05,3.42,3.91,4.36,4.89,5.49,5.99,6.47,6.9,7.06,8.95
CRI,3.55,3.76,3.89,4.12,3.94,5.15,6.11,6.7,7.11,7.42,7.7,8.12,7.97
CUB,3.49,3.57,3.99,4.49,5.3,6.23,8.06,8.09,8.54,8.8,8.91,9.51,10.16
DOM,2.52,2.57,2.76,3.09,3.63,4.26,4.98,5.52,6.02,6.31,6.98,7.4,7.85
ECU,2.55,2.87,3.22,3.9,4.42,4.92,6.15,6.56,7,7.1,7.1,7.37,7.6
SLV,1.53,1.68,1.97,2.36,2.83,3.24,3.59,4.25,4.67,5.42,6.59,7.34,7.77
GTM,1.31,1.36,1.4,1.48,1.72,2.01,2.86,3.16,3.53,3.8,4.1,3.97,4.57
GUY,4.24,4.56,4.86,5.28,5.66,6.04,6.49,6.87,7.09,7.68,8.13,8.51,8.79
HTI,0.59,0.67,0.8,0.95,1.18,1.5,1.99,2.94,3.43,3.92,4.33,4.81,5.11
HND,1.64,1.75,1.92,2.1,2.33,2.64,3.62,4.49,4.89,5.26,5.65,6.03,6.19
JAM,3.59,3.67,3.87,4.4,4.86,5.42,6.08,6.63,7.15,8.18,9.14,9.66,9.87
MEX,2.19,2.34,2.52,2.96,3.39,4.09,4.9,5.77,6.47,7.2,7.66,8.45,8.79
NIC,1.55,1.83,2.17,2.58,3.03,3.32,3.75,4.1,4.49,5.02,5.51,5.98,6.61
PAN,3.76,4.14,4.59,4.84,5.21,5.89,6.66,7.34,7.65,8.43,8.74,9.18,9.27
PRY,2.69,3,3.43,3.69,4.14,4.68,5.2,5.8,6.11,6.25,6.23,7.59,7.57
PER,2.83,3,3.21,3.7,4.36,5.32,6.1,6.62,7.23,7.88,8.85,9.55,8.88
TTO,5,5.32,5.65,5.98,6.4,6.93,7.48,7.98,8.46,9,9.51,10.08,10.63
URY,4.34,4.6,4.87,5.2,5.7,6.16,6.7,7.24,7.45,7.57,8.07,7.96,8.17
VEN,1.63,1.98,2.38,2.66,3.28,4.31,5.27,5.12,4.97,5.86,6.71,7.51,8.41
DZA,0.85,0.84,0.88,1.1,1.55,2.11,2.81,3.99,4.74,5.41,5.67,5.54,6.68
BHR,1,1.07,1.29,1.75,3.08,4.02,4.93,5.65,6.54,7.1,7.48,7.19,7.06
CYP,3.56,4.25,5.14,5.54,5.88,6.68,7.5,8.44,9.14,9.6,9.94,9.28,11.07
EGY,0.52,0.67,0.81,1.04,1.31,1.69,2.65,3.76,4.41,5.12,6.03,6.66,7.15
IRN,0.54,0.66,0.92,1.42,2.03,2.67,3.58,4.41,5.22,6.35,7.31,8.06,8.88
IRQ,0.24,0.33,0.5,0.85,1.43,1.97,2.74,3.73,4.58,5.09,5.9,6.31,7.16
ISR,7.3,7.39,7.66,8.11,8.66,9.56,10.27,10.49,10.83,11.07,11.34,11.47,12.32
JOR,1.33,1.76,2.41,3,3.47,4.01,4.55,5.68,6.61,7.58,8.36,9.07,9.59
KWT,1.48,1.84,2.39,2.85,3.27,3.51,4.61,5.54,5.92,6.11,6.09,6.07,6.34
LBY,0.44,0.55,0.68,1,1.53,2.19,3.26,4.31,5.17,5.89,6.79,7.42,8
MLT,3.23,3.72,4.26,4.86,5.82,6.57,7.21,8.04,8.73,9.36,9.78,10.13,10.52
MAR,0.28,0.38,0.49,0.71,0.98,1.35,1.76,2.29,2.86,3.4,3.82,4.34,4.96
QAT,1.63,2.1,2.54,3.21,3.78,4.27,4.75,5.18,5.58,6.13,6.6,7.29,8.43
SAU,2.31,2.51,2.71,3.05,3.22,3.73,4.26,5.17,5.84,6.34,7.08,7.69,8.53
SYR,0.85,0.98,1.21,1.53,2.04,2.7,3.36,4.07,4.47,4.56,4.58,5.9,6.7
TUN,0.65,0.78,0.92,1.3,1.79,2.45,3.25,3.7,4.39,5.07,5.9,6.78,7.48
ARE,0.79,1.14,1.51,2.1,2.54,2.99,3.89,4.9,6.11,7.51,8.43,8.89,9.07
YEM,0.02,0.03,0.04,0.05,0.06,0.09,0.23,0.61,1.2,1.67,2.34,3,3.68
AFG,0.27,0.31,0.37,0.42,0.69,0.92,1.22,1.57,1.87,2.26,2.86,3.21,3.85
BGD,0.93,0.94,1.02,1.25,1.38,1.57,2.25,2.82,3.13,3.68,4.48,5.24,5.91
IND,0.99,1.06,1.13,1.3,1.61,2.01,2.34,2.89,3.45,4.12,5.03,5.63,6.24
MDV,2.99,3.19,3.43,3.66,4.02,4.3,4.54,4.82,4.43,4.11,4.26,4.69,6.02
NPL,0.11,0.11,0.13,0.27,0.5,0.72,0.99,1.76,2.49,2.65,2.97,3.55,4.23
PAK,0.99,1.01,1.15,1.39,1.58,1.88,2.15,2.51,2.92,3.36,3.87,4.93,5.02
LKA,3.4,3.7,3.98,4.33,6.38,6.72,6.96,7.62,8.51,9.35,10.24,10.31,10.06
BEN,0.44,0.53,0.61,0.76,0.84,0.94,1.22,1.71,2.16,2.61,3.11,3.72,4.43
BWA,1.38,1.42,1.46,1.71,2.14,2.74,3.12,5.29,6.86,8.24,8.82,9.22,9.55
BDI,0.42,0.52,0.67,0.81,1.06,1.28,1.45,1.54,1.74,2.18,2.56,2.88,3.35
CMR,0.7,0.88,1.08,1.43,1.81,2.42,3.04,3.7,4.37,5,5.46,5.77,6.15
CAF,0.39,0.44,0.5,0.6,0.82,1.15,1.66,2.06,2.67,2.99,3.29,3.55,3.76
COG,0.79,0.97,1.14,1.57,2.09,3.28,4.17,4.97,5.37,5.62,5.67,5.77,5.94
CIV,0.84,0.88,0.96,1.06,1.29,1.71,2.06,2.37,2.69,3.3,3.87,4.26,4.65
COG,0.58,0.65,0.81,0.99,1.23,1.55,2.06,2.75,3.18,3.37,3.37,3.49,3.66
GAB,0.47,0.82,1.01,1.42,1.82,2.6,3.31,4.3,5.25,6.25,7.02,7.71,8.39
GMB,0.4,0.43,0.47,0.52,0.57,0.73,0.97,1.27,1.75,2.45,2.64,3.25,3.77
GHA,0.68,0.8,1.05,1.95,3.06,3.86,4.53,5.2,5.65,5.89,6.44,7.07,7
KEN,1.16,1.31,1.51,1.69,2.17,2.66,3.41,4.13,4.78,5.26,5.69,6.25,6.14
LSO,2.47,2.73,2.96,3.24,3.55,3.91,4.3,4.64,5.12,5.66,6.21,6.93,5.85
LBR,0.57,0.62,0.73,0.93,1.15,1.66,2.2,2.69,3.02,3.08,3.49,3.85,4.2
MWI,0.96,1.03,1.09,1.21,1.57,1.86,2.34,2.65,2.9,3.06,3.48,4.41,4.81
MLI,0.15,0.17,0.2,0.24,0.29,0.45,0.62,0.78,0.89,1.01,1.23,1.73,1.97
MRT,1.27,1.35,1.43,1.52,1.66,1.83,2.13,2.43,2.76,3.12,3.55,4.06,4.53
MUS,2.51,2.91,3.56,4.23,4.93,5.09,5.36,5.86,6.49,6.83,6.7,7.84,8.86
MOZ,0.49,0.65,0.82,1,1.01,0.95,1.12,1.17,1,0.93,1.08,1.28,1.93
NAM,2.4,2.75,3.07,3.43,3.95,4.47,5.02,5.62,6.15,6.05,5.72,5.97,6.17
NER,0.32,0.34,0.38,0.4,0.44,0.52,0.65,0.83,1.04,1.23,1.38,1.57,1.88
REU,2.85,2.75,2.72,2.85,3.52,4.34,5.09,5.69,6.21,6.67,7.08,7.45,7.9
RWA,0.32,0.45,0.79,0.94,1.16,1.44,1.69,1.88,2.18,2.66,3.23,3.83,4.36
SEN,1.76,1.84,2.08,2.11,2.29,2.45,2.49,2.43,2.33,2.2,1.92,1.57,2.74
SLE,0.41,0.46,0.5,0.67,0.84,1.1,1.4,1.75,2.09,2.46,2.78,3.22,4.23
ZAF,4.03,4.32,4.39,4.45,4.61,4.83,5.11,5.11,6.81,8.29,7.68,8.65,9.69
SDN,0.32,0.4,0.48,0.59,0.73,0.96,1.27,1.71,2.15,2.52,2.82,3.15,3.21
SWZ,1.23,1.48,1.72,2.06,2.89,3.81,4.44,5.08,5.09,5,4.44,2.99,5.06
TGO,0.34,0.4,0.49,0.61,0.85,1.82,2.8,3.42,3.99,4.31,4.75,5.16,5.49
UGA,0.89,1.02,1.16,1.24,1.52,1.93,2.29,2.86,3.48,3.97,4.33,4.97,5.7
TZA,1.21,1.27,1.65,1.83,2.27,2.56,3.24,3.67,4.09,4.38,4.73,5.11,5.81
ZMB,1.77,1.96,2.26,2.57,2.98,3.65,4.17,4.61,4.89,6.01,6.16,6.42,7.32
ZWE,1.58,1.88,2.24,2.51,3.01,3.45,3.89,4.67,5.73,6.7,7,7.47,7.61
