year,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
TJK,60721.32679,54939.46976,48510.57778,42109.78746,36309.87079,27953.09265,24138.47723,21892.80187,19385.0746,16905.381,14557.44315,12526.72409,10833.83072,9410.648452,8161.521875,7014.844988,5926.84478
THA,6567119.273,6324870.708,6041388.342,6000244.699,5679679.496,5173695.532,4702373.48,4321340.128,3853918.661,3377786.216,2930318.253,2521455.504,2143729.172,1789076.146,1454477.83,1145741.885,870709.2546
TGO,931022.165,984115.0799,1025063.851,1110348.616,1188219.711,1218835.303,1289606.271,1308079.764,1311061.527,1303764.682,1284451.419,1249196.392,1198157.073,1132512.38,1054804.106,967559.4296,873535.3347
TUR,10572444.27,10346919.41,10183245.83,9973075.324,9527674.291,9051530.322,8932945.081,8660251.77,8254197.715,7734293.91,7151561.905,6574553.778,6008467.734,5450246.842,4899190.179,4359908.446,3835724.794
TKM,200702.9374,165911.6718,134174.9664,106767.295,82847.3359,65093.735,48886.71841,36278.26895,26626.98292,19613.01779,14758.44226,11477.41939,9229.526922,7560.855702,6170.679448,4924.963578,3786.245734
UGA,2760333.677,2780523.168,2828877.782,2841639.878,2910841.986,2876712.295,2645243.984,2449521.057,2271857.917,2095733.379,1924689.496,1748742.646,1567966.924,1384815.233,1203684.975,1029152.465,865221.7352
UKR,18.709051,10.592077,5.277805,1.652108,0.368255,0.0392,0.002,0,0,0,0,0,0,0,0,0,0
MKD,146791.665,128606.2239,113623.8684,94696.33393,78620.25251,64723.80319,53690.66525,44055.00753,35744.99249,28880.95099,23537.96482,19489.00865,16378.81902,13874.50797,11728.29477,9795.517854,8009.37722
EGY,13966542.12,14187215.63,14347597.72,14408958.91,14460011.32,14180213.86,13880283.95,13523362.6,12968728.54,12274670.85,11492953.15,10624679.27,9675821.55,8661151.152,7611714.873,6576704.322,5589062.061
GBR,49.960998,30.347252,15.974095,8.141608,3.220955,0.589821,0.0885,0,0,0,0,0,0,0,0,0,0
TZA,4525063.267,4717997.598,4813366.378,4868788.368,4995273.707,5261113.673,5467264.979,5593507.76,5682894.829,5766485.223,5825308.539,5801897.624,5697027.764,5523407.979,5298317.588,5031269.829,4724135.23
USA,2671299.374,2311625.228,1974723.424,1660757.921,1406329.233,1188148.068,1035525.121,890874.0674,765086.126,657281.728,564781.6403,483364.126,408770.8071,338303.5016,271625.7839,210210.9604,156348.6245
BFA,2891356.555,3074242.749,3258204.53,3521177.678,3931205.751,4352096.08,4788073.502,5381393.948,5903362.622,6420180.889,6915373.347,7378384.199,7773534.773,8079663.693,8276747.312,8350269.644,8296137.223
URY,63098.51567,51463.08616,42278.38487,34982.28023,29014.06139,23752.69882,20235.81231,16669.02967,13705.27681,11260.23495,9271.178104,7654.205546,6345.184174,5272.51221,4370.642969,3584.978091,2882.747133
UZB,381243.0339,339682.0489,297313.8383,259564.9733,215146.3508,181326.585,150110.7675,124406.5655,101338.9964,81846.95166,66002.91699,53566.96647,43927.46886,36304.25379,29953.6333,24346.56956,19176.18509
ZMB,984452.1421,971521.0191,956481.5821,940118.9001,925385.8175,896933.9362,849730.2481,771743.998,702337.9622,633409.6204,568138.3988,501907.6914,439645.2703,383131.8151,332745.9073,287777.9366,247290.8608
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
