code,cow_code,cow_letter,imf_code,iso_alpha2,iso_alpha3,kansas_code,legacy_country_id,legacy_entity_id,marc_code,ncd_code,penn_code,unctad_code,wikidata_code
SJM,,,,SJ,SJM,,808,298,,,,,Q842829
SWE,380,SWD,144,SE,SWE,SWE,755,10,SW,SWDN,SWE,,Q34
CHE,225,SWZ,146,CH,CHE,CHE,597,7,SZ,SWTZ,CHE,,Q39
SYR,652,SYR,463,SY,SYR,SYR,758,77,SY,SYRA,SYR,SYR,Q858
TWN,713,TAW,528,TW,TWN,TWN,771,198,,TWAN,TWN,TAI,Q865
TJK,702,TAJ,923,TJ,TJK,TJK,763,76,TA,,TJK,TAJ,Q863
TZA,510,TAZ,738,TZ,TZA,TZA,772,64,TZ,TNZN,TZA,URT,Q924
THA,800,THI,578,TH,THA,THA,762,75,TH,TLND,THA,THA,Q869
TLS,860,,537,TL,TLS,TMP,765,225,EM,,TLS,,Q574
TGO,461,TOG,742,TG,TGO,TGO,761,74,TG,TOGO,TGO,TOG,Q945
TKL,,,,TK,TKL,,810,287,,,,,Q36823
TON,955,TON,866,TO,TON,TON,766,235,TO,,TON,TON,Q678
TTO,52,TRI,369,TT,TTO,TTO,767,73,TR,TRNT,TTO,TRI,Q754
TUN,616,TUN,744,TN,TUN,TUN,768,71,TI,TNSA,TUN,TUN,Q948
TUR,640,TUR,186,TR,TUR,TUR,769,70,TU,TRKY,TUR,TUR,Q43
TKM,701,TKM,925,TM,TKM,TKM,764,69,TK,,TKM,TUK,Q874
TCA,,,,TC,TCA,TCA,759,236,TC,,TCA,TCI,Q18221
TUV,947,TUV,947,TV,TUV,TUV,770,237,TV,,TUV,TUV,Q672
UGA,500,UGA,746,UG,UGA,UGA,773,68,UG,UGND,UGA,UGA,Q1036
UKR,369,UKR,926,UA,UKR,UKR,774,67,UN,,UKR,UKR,Q212
ARE,696,UAE,466,AE,ARE,ARE,568,72,TS,UAR0,ARE,UAE,Q878
GBR,200,UKG,112,GB,GBR,GBR,635,1,XXK,UK00,GBR,,Q145
USA,2,USA,111,US,USA,USA,776,13,XXU,USA0,USA,,Q30
UMI,,,,UM,UMI,,811,354,,,,,Q16645
VIR,,,,VI,VIR,VIR,782,256,VI,,VIR,,Q11703
URY,165,URU,298,UY,URY,URY,775,63,UY,URGY,URY,URU,Q77
UZB,704,UZB,927,UZ,UZB,UZB,777,62,UZ,,UZB,UZB,Q265
VUT,935,VAN,846,VU,VUT,VUT,784,221,NN,,VUT,VAN,Q686
VAT,327,PAP,,VA,VAT,VAT,778,257,VC,,VAT,,Q237
VEN,101,VEN,299,VE,VEN,VEN,780,238,VE,VNZL,VEN,VEN,Q717
VNM,816,DRV,582,VN,VNM,VNM,783,84,VM,VNM0,VNM,VIE,Q881
WLF,,,,WF,WLF,WLF,785,255,WF,,WLF,,Q35555
OWID_GFR,260,GFR,,,,,814,185,,,,,
ESH,,,,EH,ESH,ESH,623,248,SS,,ESH,,Q6250
OWID_WRL,,,,,,,559,355,,,,,
YEM,679,YEM,474,YE,YEM,YEM,787,61,YE,YNMS,YEM,YEM,Q805
OWID_YAR,678,YAR,,,,,830,381,,,,,
OWID_YPR,680,YPR,,,,,831,382,,,,,
ZMB,551,ZAM,754,ZM,ZMB,ZMB,789,60,ZA,ZMBA,ZMB,ZAM,Q953
OWID_ZAN,511,ZAN,,,,,829,380,,,,,
ZWE,552,ZIM,698,ZW,ZWE,ZWE,790,80,RH,ZIMB,ZWE,ZIM,Q954
OWID_ABK,,,,,,,,386,,,,,
OWID_AKD,,,,,,,,387,,,,,
OWID_ERE,,,,,,,,388,,,,,
OWID_NAG,,,,,,,,389,,,,,
OWID_SRM,,,,,,,,268,,,,,
OWID_SEK,,,,,,,,392,,,,,
OWID_SML,,,,,,,,393,,,,,
OWID_SOS,,,,,,,,394,,,,,
OWID_TRS,,,,,,,,395,,,,,
OWID_USS,,,,,,,,270,,,,,
OWID_KRU,,,,,,,,383,,,,,
OWID_YGS,,,,,,,,271,,,,,
OWID_AFR,,,,,,,,273,,,,,
OWID_ASI,,,,,,,,275,,,,,
OWID_EUR,,,,,,,,276,,,,,
OWID_SAM,,,,,,,,295,,,,,
OWID_NAM,,,,,,,,294,,,,,
OWID_OCE,,,,,,,,277,,,,,
ATA,,,,AQ,ATA,,792,346,,,,,Q21590062
OWID_EU27,,,,,,,,115117,,,,,
