chart_slug,experiment_group
primary-schools-with-access-to-internet,no_change
endemic-bird-species-by-country,download_button
annual-change-nuclear,no_change
cases-of-paralytic-polio-from-wild-polioviruses,no_change
dentistry-personnel-per-1000,no_change
coal-consumption-by-region,no_change
full-list-total-tests-for-covid-19,visible_alt_text
hypertension-adults-30-79,visible_alt_text
income-inequality-atkinson-index-undp,no_change
scholarly-publications-on-artificial-intelligence-per-million-people,download_button
hydro-share-energy,hidden_alt_text
prevalence-rate-of-cardiovascular-disease,download_button
death-rates-from-alcohol-use-disorders,download_button
chicken-meat-production,download_button
the-incidence-of-malaria-per-1000-population,no_change
pupil-teacher-ratio-for-primary-education-by-country,visible_alt_text
carbon-tax-instruments,download_button
electricity-fossil-fuels,no_change
annual-deaths-from-outdoor-air-pollution-by-region,download_button
mens-life-expectancy-at-birth,download_button
antibiotic-use-in-livestock-in-europe,no_change
expected-years-of-living-with-disability-or-disease-burden,visible_alt_text
legal-status-of-same-sex-sexual-acts,visible_alt_text
tuberculosis-death-rates,hidden_alt_text
air-pollution-deaths-country,no_change
breast-cancer-death-rate-in-women,hidden_alt_text
cases-of-paralytic-polio-from-vaccine-derived-viruses,hidden_alt_text
decadal-temperature-anomaly,hidden_alt_text
per-capita-electricity-demand,visible_alt_text
average-expenditures-of-tourists-abroad,no_change
female-homicide-rate,hidden_alt_text
global-mine-production-minerals,no_change
share-of-married-women-ages-15-49-years-whose-need-for-family-planning-is-satisfied,no_change
methane-emissions-agriculture,visible_alt_text
mass-us-glaciers,hidden_alt_text
fertilizer-use-per-hectare-of-cropland,hidden_alt_text
wind-electricity-per-capita,no_change
right-to-change-legal-gender-equaldex,download_button
potato-production,visible_alt_text
dengue-fever-deaths,visible_alt_text
international-tourist-trips-per-1000-people,visible_alt_text
death-rates-cocaine,visible_alt_text
active-mobile-money-accounts,hidden_alt_text
net-electricity-imports,hidden_alt_text
share-of-population-with-cancer-age-standardized,download_button
share-of-the-daily-calorie-supply-that-comes-from-animal-protein,visible_alt_text
reported-rabies-deaths,visible_alt_text
deaths-from-volcanic-eruptions,no_change
death-rate-from-hypertensive-heart-disease-who-ghe-age-standardized,hidden_alt_text
coal-prod-per-capita,visible_alt_text
co2-emissions-domestic-aviation,download_button
death-rate-from-cardiovascular-disease-for-15--to-49-year-olds,download_button
fire-death-rates,hidden_alt_text
per-capita-co2-cement,download_button
military-spending-gmsd,download_button
public-healthcare-spending-share-gdp,hidden_alt_text
number-of-deaths-from-tobacco-smoking,visible_alt_text
protected-terrestrial-biodiversity-sites,visible_alt_text
coal-energy-share,download_button
government-expenditure-on-tertiary-education-as-share-of-gdp,download_button
death-rates-from-conflict-and-terrorism-gbd,visible_alt_text
poverty-gap-index-extreme-poverty,hidden_alt_text
legal-frameworks-addressing-gender-equality-in-employment-and-economic-benefits,download_button
share-of-the-population-with-at-least-some-secondary-education,no_change
companies-publishing-sustainability-reports-minimum-requirements,hidden_alt_text
income-inequality-in-latin-america,download_button
electricity-as-a-share-of-primary-energy,download_button
universal-suffrage-lexical,no_change
share-of-the-population-using-improved-water-sources-wash,no_change
low-earth-orbits-objects,visible_alt_text
per-capita-hydro,hidden_alt_text
share-of-mothers-receiving-at-least-four-antenatal-visits-during-pregnancy,hidden_alt_text
share-of-employee-compensation-in-public-spending,visible_alt_text
annual-growth-of-exports-of-goods-and-services,hidden_alt_text
electricity-oil,hidden_alt_text
years-colonized,hidden_alt_text
chlorophyll-a-deviation-from-the-global-average,hidden_alt_text
stroke-death-rates,hidden_alt_text
infant-mortality-rate,no_change
incidence-of-meningitis,hidden_alt_text
affordability-cigarettes,no_change
deaths-from-infectious-diseases,hidden_alt_text
death-rate-from-mental-health-and-substance-use-disorders-who,visible_alt_text
dementia-death-rates,download_button
prevalence-of-anemia-in-children,no_change
number-of-tsunamis,hidden_alt_text
military-spending-per-armed-forces-personnel,visible_alt_text
visitors-transit-covid,download_button
annual-co-emissions-from-aviation,no_change
share-with-mental-health-or-development-disorder,download_button
rate-of-child-deaths-attributed-to-child-and-maternal-malnutrition,visible_alt_text
artificial-intelligence-number-training-datapoints,no_change
solar-pv-cumulative-capacity,download_button
hazardous-waste-generated-per-capita,hidden_alt_text
death-rate-lead-exposure,no_change
municipal-waste-recycled,download_button
population-by-income-level,visible_alt_text
share-plastic-waste-imports,visible_alt_text
uk-daily-covid-deaths,no_change
number-of-commercial-bank-branches-per-100000-adults,download_button
death-rate-from-rheumatic-heart-disease-who-ghe-age-standardized,no_change
number-of-deaths-from-suicide-ghe,no_change
average-hourly-earnings,download_button
deaths-conflict-terrorism-per-100000,download_button
co2-land-use,hidden_alt_text
ppp-conversion-factor-for-private-consumption,download_button
annual-change-fossil-fuels,visible_alt_text
suffrage,no_change
pigmeat-production-tonnes,no_change
school-life-expectancy-primary-gender-parity-index-gpi,visible_alt_text
material-footprint-per-capita,download_button
equal-rights-protection-index,visible_alt_text
current-covid-patients-icu,visible_alt_text
beer-consumption-per-person,hidden_alt_text
share-covered-by-one-social-protection-benefit,visible_alt_text
antiretroviral-therapy-coverage-among-people-living-with-hiv,no_change
death-rates-substance-disorders,visible_alt_text
wastewater-safely-treated,no_change
space-objects-by-orbit,no_change
palma-ratio-after-tax-lis,no_change
share-of-lung-cancer-deaths-attributed-to-air-pollution,download_button
annual-number-of-deaths-by-world-region,hidden_alt_text
annual-growth-of-general-government-final-consumption-expenditure,no_change
access-to-justice-women-row,no_change
progress-toward-productive-and-sustainable-agriculture,download_button
neonatal-mortality-wdi,no_change
tsunami-deaths,visible_alt_text
individual-liberties-and-equality-before-the-law-index,visible_alt_text
percentage-of-territory-controlled-by-government,hidden_alt_text
political-civil-liberties-index,no_change
proportion-of-forest-area-within-legally-established-protected-areas,download_button
hepatitis-b-incidence-sdgs,visible_alt_text
death-rates-substance-disorders-who,download_button
number-of-deaths,download_button
share-of-the-population-without-access-to-clean-fuels-for-cooking,visible_alt_text
alcohol-drug-use-disorders-share-total-disease,download_button
power-outages-in-firms-per-month,visible_alt_text
death-rates-from-high-blood-pressure,download_button
global-warming-fossil,visible_alt_text
child-and-maternal-malnutrition-death-rate,no_change
school-closures-covid,hidden_alt_text
share-of-students-at-end-of-primary-education-achieving-minimum-reading-proficiency,visible_alt_text
rate-of-twin-deliveries,visible_alt_text
artificial-intelligence-patents-submitted-per-million,hidden_alt_text
foreign-aid-received-as-a-share-of-national-income-net,visible_alt_text
percentage-of-teachers-in-primary-education-who-are-qualified,visible_alt_text
natural-gas-production-by-region-terawatt-hours-twh,download_button
absolute-number-of-deaths-from-household-air-pollution,hidden_alt_text
milk-yields-per-animal,no_change
share-of-students-studying-abroad,visible_alt_text
number-of-accessions-of-plant-genetic-resources-secured-in-conservation-facilities,hidden_alt_text
sesame-seed-production,download_button
share-of-electricity-production-from-solar-and-wind,no_change
wind-share-energy,hidden_alt_text
money-committed-to-public-private-partnerships-for-infrastructure,no_change
poverty-share-of-population-living-on-less-than-40-a-day,no_change
share-of-mothers-receiving-at-least-one-antenatal-visit-during-pregnancy,no_change
child-deaths-igme-data,visible_alt_text
total-ghg-emissions-excluding-lufc,visible_alt_text
bean-production,download_button
share-of-the-total-land-area-burnt-by-wildfires-each-year,download_button
solar-energy-consumption-by-region,hidden_alt_text
external-debt-as-a-share-of-gni,download_button
share-cereals-animal-feed,no_change
primary-school-attendance-selected-countries,no_change
area-meadows-and-pastures,visible_alt_text
number-of-people-living-with-hiv,no_change
births-attended-by-health-staff-sdgs,hidden_alt_text
share-of-rural-population-with-improved-sanitation-faciltities,no_change
deaths-and-disappearances-during-migration,no_change
share-calorie-diet-unaffordable,hidden_alt_text
current-covid-hospitalizations-per-million,download_button
death-rate-from-falls,download_button
current-account-balance-as-a-proportion-of-gdp,hidden_alt_text
share-of-e-coli-bloodstream-infections-due-to-antimicrobial-resistant-bacteria,visible_alt_text
natural-disaster-death-rates,download_button
primary-energy-hydro,visible_alt_text
soybean-yields,download_button
deaths-due-to-alcohol-use,visible_alt_text
homicides-unodc,download_button
sugar-cane-yields,no_change
maternal-mortality-rate-who-mdb,visible_alt_text
participatory-democracy-index,visible_alt_text
automated-teller-machines-atms-per-100000-adults,no_change
peak-birth-month,visible_alt_text
hepatitis-death-rate,visible_alt_text
deliberative-democracy-index-vdem,download_button
diabetes-prevalence-who-gho,visible_alt_text
change-visitors-parks-covid,hidden_alt_text
countries-that-adopt-guarantees-for-public-access-to-information,no_change
domestic-material-consumption-per-unit-of-gdp,download_button
poverty-share-on-less-than-30-per-day-2011-ppp,download_button
share-electricity-gas,hidden_alt_text
annual-growth-of-the-gross-capital-formation,no_change
citizen-satisfaction-with-democracy,no_change
overarching-legal-frameworks-regarding-gender-equality,download_button
deaths-due-to-obesity,visible_alt_text
emissions-weighted-carbon-price,download_button
countries-with-national-adaptation-plans-for-climate-change,no_change
oil-share-energy,hidden_alt_text
implementation-of-integrated-water-resource-management,download_button
number-of-large-scale-ai-systems-released-per-year,no_change
share-of-s-aureus-bloodstream-infections-that-are-resistant-to-antibiotics,download_button
share-companies-using-artificial-intelligence,visible_alt_text
cassava-production,download_button
number-of-reported-guinea-worm-dracunculiasis-cases,download_button
solar-and-wind-power-generation,no_change
annual-change-in-solar-and-wind-energy-generation,no_change
share-of-students-from-abroad,no_change
taxes-on-incomes-of-individuals-and-corporations-gdp,download_button
cumulative-number-artificial-intelligence-bills-passed,visible_alt_text
share-manufacture-exports,hidden_alt_text
contribution-temp-rise-degrees,hidden_alt_text
equal-access-to-power-index,no_change
infectious-and-parasitic-diseases-death-rate-who-mdb,no_change
cattle-meat-yields-hectograms-100-grams-per-animal,download_button
regulation-illegal-fishing,hidden_alt_text
total-gov-expenditure-percapita-oecd,no_change
covid-vaccine-booster-doses-per-capita,visible_alt_text
incidence-of-child-labour,visible_alt_text
staff-compensation-as-share-of-total-expenditure-in-public-education-all-levels,no_change
death-rates-from-drug-use-disorders,no_change
drowning-death-rates,hidden_alt_text
data-deprivation-poverty-surveys-per-decade,hidden_alt_text
share-deaths-smoking,download_button
new-cases-of-hiv-infection,hidden_alt_text
work-hours-per-week,visible_alt_text
domain-notable-artificial-intelligence-systems,visible_alt_text
psychiatrists-working-in-the-mental-health-sector,no_change
deaths-from-natural-disasters-by-type,hidden_alt_text
gas-share-energy,download_button
judicial-constraints-on-the-executive-index,visible_alt_text
share-of-children-underweight,visible_alt_text
total-financial-assistance-and-flows-for-agriculture-by-recipient,download_button
political-rights-score-fh,download_button
low-carbon-electricity,visible_alt_text
inequality-in-life-expectancy,visible_alt_text
share-of-women-among-the-population-living-with-hiv,download_button
annual-change-oil,visible_alt_text
unmet-need-for-contraception-share-of-married-women-of-reproductive-age,no_change
primary-completion-rate-adjusted-gender-parity-index,no_change
cost-per-gigabase-dna-sequencing,download_button
annual-change-coal,hidden_alt_text
fertilizer-total-use,download_button
reduction-in-income-inequality,download_button
proportion-tariff-lines-applied-to-imports-from-ldcs,hidden_alt_text
female-homicide-victims,hidden_alt_text
poultry-livestock-count,hidden_alt_text
reported-rate-of-new-cervical-cancer-cases,no_change
death-rate-from-diabetes,visible_alt_text
life-expectancy-at-birth-who-gho,no_change
endemic-amphibian-species-by-country,visible_alt_text
cumulative-number-of-large-scale-ai-models-by-domain,no_change
share-deaths-from-natural-disasters,visible_alt_text
total-shortfall-from-extreme-poverty,no_change
people-with-access-to-at-least-basic-drinking-water,hidden_alt_text
annual-area-burnt-by-wildfires-gwis,download_button
womens-life-expectancy-at-birth,no_change
the-number-of-reported-paralytic-polio-cases,visible_alt_text
cropland-area,hidden_alt_text
share-graduates-stem-female,no_change
upper-secondary-completion-rate-adjusted-gender-parity-index,no_change
net-zero-target-set,hidden_alt_text
legislation-domestic-violence,no_change
bcg-immunization-coverage-for-tb-among-1-year-olds,download_button
capital-city-population,no_change
hardware-and-energy-cost-to-train-notable-ai-systems,download_button
political-rights-rating-fh,download_button
maize-yield-gap,hidden_alt_text
deaths-from-preterm-birth-complications,no_change
congenital-birth-defect-mortality-rates-in-children-under-5,hidden_alt_text
interventions-ntds-sdgs,no_change
lower-secondary-completion-rate-adjusted-gender-parity-index,no_change
death-rate-from-road-accidents-for-15--to-49-year-olds,visible_alt_text
uk-daily-new-covid-cases,no_change
deaths-from-substance-disorders-who,hidden_alt_text
per-capita-solar,download_button
electricity-gas,no_change
deaths-due-to-unsafe-sex,visible_alt_text
number-of-tuberculosis-cases,hidden_alt_text
cohort-fertility-rate,no_change
ratio-of-the-literacy-rate-between-young-women-and-men,hidden_alt_text
average-length-of-stay,visible_alt_text
computer-chess-ability,visible_alt_text
cashew-nut-production,hidden_alt_text
percentage-of-teachers-in-pre-primary-education-who-are-qualified,no_change
sugar-beet-production,download_button
women-business-and-the-law-index,visible_alt_text
newly-funded-artificial-intelligence-companies,no_change
global-warming-land,no_change
road-deaths-over-the-long-term,download_button
countries-with-legislative-regulatory-provisions-for-managing-disaster-risk,visible_alt_text
current-covid-patients-hospital,visible_alt_text
share-deaths-unsafe-sanitation,no_change
birth-rate-colored-by-peak-birth-month,no_change
share-of-the-population-using-improved-sanitation-facilities,download_button
burden-of-disease-who,download_button
deaths-from-mental-health-and-substance-use-disorders-who,visible_alt_text
prevalence-of-lymphatic-filariasis,hidden_alt_text
per-capita-nitrous-oxide,visible_alt_text
death-rate-from-drug-use-disorders-for-15--to-49-year-olds,no_change
change-visitors-retail-recreation,visible_alt_text
political-regime-eiu,hidden_alt_text
progress-towards-polio-eradication,download_button
cumulative-exoplanets-by-method,hidden_alt_text
unsentenced-detainees-as-proportion-of-prison-population,hidden_alt_text
total-oda-for-water-supply-and-sanitation-by-recipient,hidden_alt_text
cumulative-covid-vaccinations-income-group,download_button
political-regime-polity,hidden_alt_text
commodity-driven-deforestation,hidden_alt_text
deaths-due-to-low-physical-activity,hidden_alt_text
deaths-due-to-lack-of-access-to-hand-washing-facilities,no_change
average-working-hours-of-children,hidden_alt_text
age-of-electoral-democracy,download_button
international-trips-for-business-and-professional-reasons,hidden_alt_text
number-of-people-severely-food-insecure,hidden_alt_text
decadal-average-surface-temperature,download_button
share-of-population-in-extreme-poverty-2011-ppp,hidden_alt_text
share-of-fish-stocks-that-are-sustainably-fished,download_button
annual-growth-of-imports-of-goods-and-services,hidden_alt_text
fossil-fuel-subsidies,download_button
share-with-alcohol-use-disorders,hidden_alt_text
gdp-per-capita-prados-de-la-escosura,hidden_alt_text
death-rate-amphetamine,no_change
per-capita-gas,no_change
threatened-endemic-mammal-species,hidden_alt_text
biofuels-production-by-region,hidden_alt_text
antibiotic-consumption-rate,visible_alt_text
number-of-people-employed-in-food-and-beverage-serving-activities-per-1000-population,download_button
hib-vaccine,visible_alt_text
child-adolescent-obesity,no_change
total-official-development-assistance-for-technical-cooperation,no_change
military-personnel-as-a-share-of-total-population,no_change
share-firms-top-female-manager,no_change
protein-energy-malnutrition-mortality-rates-in-children,hidden_alt_text
crude-death-rate-hmd,no_change
tuberculosis-treatment-success-rate-in-new-and-relapsed-cases,hidden_alt_text
death-rate-from-snakebite-envenoming,hidden_alt_text
coal-electricity-per-capita,no_change
death-rate-typhoid-paratyphoid-fever-children-under-5,no_change
women-required-to-obey-husband,download_button
female-employment-to-population-ratio,visible_alt_text
country-scp-plan,no_change
cumulative-people-space,download_button
tuberculosis-deaths,download_button
artificial-intelligence-training-computation-by-researcher-affiliation,visible_alt_text
deaths-from-aids-ihme,hidden_alt_text
consumption-co2-per-capita-equity,no_change
prevalence-of-anemia-in-pregnant-women,visible_alt_text
coffee-yields,no_change
number-of-transboundary-animal-breeds-which-have-genetic-resources-secured-in-conservation-facilities,download_button
civil-liberties-rating-fh,download_button
children-living-with-hiv,hidden_alt_text
biweekly-confirmed-covid-19-cases,download_button
death-rate-from-alzheimers-other-dementias-ghe,download_button
annual-percentage-change-renewables,visible_alt_text
annualized-average-growth-rate-in-per-capita-real-survey-mean-consumption-or-income-bottom-40-of-population,no_change
population-threshold-for-urban-area,no_change
yams-production,visible_alt_text
official-entrance-age-to-compulsory-education,hidden_alt_text
access-to-justice-men-row,no_change
reporting-of-mental-health-system-data-in-the-past-two-years,download_button
food-loss-postharvest-by-region,no_change
number-without-access-to-improved-sanitation,download_button
share-people-multidimensional-poverty-national-definitions,hidden_alt_text
physical-integrity-rights-index-vdem,visible_alt_text
deaths-from-cardiovascular-disease-ghe,no_change
potash-fertilizer-application-per-hectare-of-cropland,visible_alt_text
wine-consumption-per-capita,no_change
hepatitis-b-vaccine-immunization-schedule,download_button
share-countries-accredited-independent-national-human-rights-institutions,visible_alt_text
access-to-sexual-health-care-and-education,no_change
grapes-production,download_button
gini-coefficient-of-lifespan-inequality-in-males,visible_alt_text
effective-fertility-rate-children-per-woman-who-are-expected-to-survive-until-childbearing-age,visible_alt_text
annual-co2-gas,no_change
covid-icu-patients-per-million,no_change
death-rate-from-venomous-animal,no_change
joint-adoptions-same-sex-partners-equaldex,download_button
per-capita-co2-oil,no_change
annual-change-wind,visible_alt_text
share-of-population-with-large-household-expenditures-on-health-10pc,visible_alt_text
spirits-consumption-per-person,no_change
years-of-schooling-prados-de-la-escosura,no_change
share-of-the-population-with-latent-tuberculosis-infection,hidden_alt_text
pneumonia-death-rates-in-children-under-5,visible_alt_text
cumulative-covid-vaccine-booster-doses,download_button
tests-per-confirmed-case-daily-smoothed,hidden_alt_text
total-oda-for-infrastructure-by-recipient,no_change
legislative-constraints-on-the-executive-index,no_change
constraints-on-the-executive-score,visible_alt_text
covid-containment-and-health-index,no_change
gini-coefficient-after-tax-lis,download_button
global-death-rate-in-violent-political-conflicts-over-the-long-run,visible_alt_text
agriculture-orientation-index,no_change
number-injured-from-disasters,visible_alt_text
gdp-price-levels-relative-to-the-us,no_change
probability-that-a-male-will-outlive-a-female,no_change
equal-resource-distribution-index,no_change
number-of-covid-19-tests-per-confirmed-case-bar-chart,download_button
primary-energy-renewables,download_button
adjusted-net-saving-current-us-dollars,visible_alt_text
political-regime-fh,no_change
number-of-maternal-deaths-by-region,no_change
political-centralization-index,download_button
government-revenues-as-a-share-of-gdp-imf,no_change
gender-development-index-groups,download_button
death-rates-from-no-access-to-handwashing-facilities,no_change
unemployment-rate-women,visible_alt_text
representation-of-women-in-lower-chamber-of-parliament,no_change
incidence-rate-of-cardiovascular-disease,no_change
cost-nutritionally-adequate-diet,hidden_alt_text
female-genital-mutilation-prevalence,download_button
orange-production,no_change
malaria-deaths-by-region,no_change
chronic-respiratory-diseases-death-rate-who-mdb,hidden_alt_text
european-overseas-colonies-by-colonizer,hidden_alt_text
death-rate-from-alzheimers-other-dementias-gbd,download_button
annual-professional-service-robots-installed-by-area,hidden_alt_text
number-of-deaths-from-pneumonia-in-children-under-5,visible_alt_text
death-rate-from-malnutrition-ghe,hidden_alt_text
number-of-children-orphaned-from-aids,visible_alt_text
death-rate-from-secondhand-smoke,download_button
share-of-central-government-expenditures-funded-by-taxes,download_button
share-of-urban-population-with-improved-sanitation-facilities,download_button
natural-gas-consumption-by-region,download_button
death-rates-from-drug-use,download_button
enforcement-of-bans-on-tobacco-advertising,visible_alt_text
percentage-of-teachers-in-lower-secondary-education-who-are-qualified,visible_alt_text
rice-production-by-region,download_button
women-married-by-age-18,hidden_alt_text
share-of-cancer-deaths-attributed-to-all-risk-factors,no_change
number-child-deaths-malnutrition,download_button
pharmaceutical-personnel-per-1000,hidden_alt_text
nurses-and-midwives-per-1000-people,no_change
wine-production,download_button
immunization-hepb3-of-one-year-old-children,download_button
monthly-sea-ice-extent-in-the-arctic,visible_alt_text
share-of-women-in-ministerial-positions,no_change
relative-poverty-share-of-people-below-40-of-the-median,no_change
alcohol-disorders-dalys-age-standardized-rate,hidden_alt_text
per-capita-co2-emissions-from-domestic-aviation,visible_alt_text
food-price-anomalies,visible_alt_text
duration-of-compulsory-education,visible_alt_text
international-tourist-departures,visible_alt_text
death-rate-from-malaria,no_change
fatal-occupational-injuries-among-employees,no_change
death-rate-from-cardiovascular-disease-ghe,download_button
birth-rate-total,download_button
tree-cover-loss-from-wildfires,visible_alt_text
export-of-environmentally-sound-technologies,visible_alt_text
projected-population-under-age-5,visible_alt_text
democratic-culture-index-eiu,download_button
import-of-environmentally-sound-technologies,hidden_alt_text
tuberculosis-deaths-who,hidden_alt_text
the-decade-of-the-last-recorded-case-of-paralytic-polio-by-country,download_button
death-rates-due-to-low-physical-activity-gbd,download_button
death-rate-from-suicides,download_button
deaths-from-one-sided-violence,download_button
magnetic-resonance-imaging-mri-units-availability,download_button
global-child-deaths-by-cause,download_button
multidimensional-poverty-index-mpi-hot,visible_alt_text
reported-cases-of-leprosy,visible_alt_text
pea-production,visible_alt_text
freedom-of-association-index,visible_alt_text
modeled-female-employment-to-population-ratio,download_button
egalitarian-political-institutions-index,hidden_alt_text
number-of-people-with-cancer,no_change
number-of-people-with-alcohol-or-drug-use-disorders,download_button
death-rate-invasive-non-typhoidal-salmonella-children-under-5,no_change
share-of-new-cancers-caused-by-helicobacter-pylori-bacteria,hidden_alt_text
rate-of-acute-flaccid-paralysis-from-non-polio-causes,visible_alt_text
number-healthy-diet-unaffordable,hidden_alt_text
share-of-global-cumulative-co-emissions-from-land-use-change,download_button
annual-percentage-change-fossil-fuels,visible_alt_text
neonatal-sepsis-and-infection-death-rate-in-infants,download_button
changes-residential-duration-covid,visible_alt_text
stay-at-home-covid,no_change
sons-and-daughters-inheritance,no_change
ratio-of-business-trips-to-trips-for-personal-reasons,no_change
vitamin-a-supplementation-coverage-rate-children-ages-6-59-months,hidden_alt_text
palm-oil-imports,download_button
change-visitors-grocery-stores,hidden_alt_text
share-global-ghg-emissions,no_change
sweet-potato-production,download_button
death-rates-from-disasters,no_change
share-of-new-cancers-caused-by-all-known-infectious-agents,hidden_alt_text
number-without-clean-cooking-fuel,hidden_alt_text
annual-pm25-emissions-from-wildfires,hidden_alt_text
death-rate-from-cancer-for-15-to-49-year-olds,no_change
freedom-score-fh,download_button
monthly-ocean-heat-2000m,download_button
share-of-all-cancer-deaths-attributable-to-alcohol-use,no_change
share-without-improved-sanitation,download_button
pig-yields-meat-per-animal-in-hectograms-100-grams,no_change
egalitarian-democracy-index-vdem,download_button
air-passenger-kilometers,visible_alt_text
suicide-rate-for-15--to-49-year-olds,visible_alt_text
cases-of-extensively-drug-resistant-tuberculosis,hidden_alt_text
share-primary-school-age-out-of-school,visible_alt_text
global-hydro-consumption,visible_alt_text
per-capita-co-emissions-from-international-flights-tourism-adjusted,visible_alt_text
share-with-4g-mobile-network-coverage,no_change
tuberculosis-death-rate,visible_alt_text
road-traffic-deaths-to-alcohol,visible_alt_text
deaths-from-diabetes,hidden_alt_text
cotton-yield,visible_alt_text
legislation-on-sexual-harassment-in-employment,visible_alt_text
share-of-women-who-have-had-no-births-across-their-childbearing-years,download_button
share-of-day-women-spend-on-unpaid-domestic-and-care-work,hidden_alt_text
share-disagree-vaccines-are-safe-wellcome-trust,hidden_alt_text
law-mandate-nondiscrimination-hiring,hidden_alt_text
population-marimekko,hidden_alt_text
donated-official-development-assistance-grants-for-poverty-reduction,hidden_alt_text
conversion-therapy-equaldex,hidden_alt_text
death-rate-from-ambient-particulate-air-pollution,no_change
civil-rights-score-bti,visible_alt_text
legal-frameworks-regarding-violence-against-women,hidden_alt_text
number-of-new-hiv-infections-per-year,visible_alt_text
share-of-single-parent-households,visible_alt_text
world-regions-sdg-united-nations,no_change
average-cost-of-tuberculosis-treatment-multi-drug-resistant,hidden_alt_text
number-of-children-newly-infected-with-hiv,download_button
deaths-from-drug-use-disorders,no_change
per-capita-nuclear,download_button
burden-of-disease-rates-from-injuries,visible_alt_text
states-involved-in-state-based-conflicts,visible_alt_text
augmented-human-development-index-excluding-gdp,no_change
wind-energy-consumption-by-region,no_change
share-of-global-merchandise-exports,download_button
support-to-help-to-quit-tobacco-use,hidden_alt_text
household-air-pollution-deaths-by-region,download_button
annual-broad-money-growth,no_change
nitrous-oxide-long,download_button
deaths-from-conflict-and-terrorism,no_change
local-gov-disaster-strategies,download_button
foreign-aid-given-to-least-developed-countries-as-a-share-of-donors-national-income,no_change
deaths-from-cardiovascular-disease,no_change
third-gender-recognition-equaldex,no_change
share-of-one-year-olds-who-received-the-rotavirus-vaccine,hidden_alt_text
deaths-from-lower-respiratory-infections-ghe,download_button
coal-production-country,download_button
electoral-democracy-lexical,download_button
minimum-requirement-calories,no_change
consumption-based-carbon-intensity,download_button
cocoa-beans-production-by-region,download_button
us-daily-covid-vaccine-doses-administered,no_change
official-entrance-age-to-pre-primary-education,visible_alt_text
death-rate-from-respiratory-infections-gbd,no_change
deaths-from-cancer-gbd,download_button
share-deaths-indoor-pollution,no_change
weekly-hospital-admissions-covid-per-million,visible_alt_text
share-of-potential-polio-cases-with-adequate-stool-collection,no_change
share-global-methane-emissions,download_button
tuberculosis-case-fatality-rate,visible_alt_text
male-homicide-rate,hidden_alt_text
green-climate-gcf-fund-pledges,download_button
attendance-major-artificial-intelligence-conferences,visible_alt_text
deaths-from-venomous-animal-contact,visible_alt_text
political-regime-lexical,hidden_alt_text
death-rates-due-to-low-physical-activity,no_change
natural-disaster-deaths-ihme,no_change
political-polarization-score,download_button
countries-where-interstate-or-intrastate-wars-took-place,hidden_alt_text
number-of-people-infected-with-hiv-by-region,no_change
urban-agglomerations-more-than-1-million,hidden_alt_text
number-with-drug-use-disorders-country,no_change
life-expectancy-prados-de-la-escosura,visible_alt_text
brain-and-nervous-system-cancer-death-rate,no_change
public-gathering-rules-covid,hidden_alt_text
legal-frameworks-gender-equality-within-marriage-and-family,visible_alt_text
nuclear-electricity-per-capita,visible_alt_text
number-of-deaths-from-rabies-by-world-region,visible_alt_text
pneumonia-death-rates-age-standardized,hidden_alt_text
women-can-take-the-same-jobs-as-men,download_button
international-trips-for-personal-reasons,download_button
egg-yield-per-bird,download_button
cassava-yields,hidden_alt_text
women-believe-husband-justified-beating-wife,visible_alt_text
pneumococcal-conjugate-vaccine-immunization-schedule,download_button
annual-change-gas,hidden_alt_text
number-of-deaths-from-tetanus,download_button
electoral-democracy-row,no_change
child-deaths-from-invasive-non-typhoidal-salmonella,download_button
sustainable-fisheries-as-a-proportion-of-gdp,download_button
annual-percentage-change-in-solar-and-wind-energy-generation,visible_alt_text
broad-money-to-total-reserves-ratio,hidden_alt_text
rapeseed-production,visible_alt_text
safety-walking-alone,visible_alt_text
disease-burden-by-region,visible_alt_text
women-married-by-age-15,visible_alt_text
death-rates-from-alcohol-use-disorders-gbd,visible_alt_text
deaths-from-cancer-who,download_button
share-who-have-not-drank-alcohol-in-last-year,visible_alt_text
taxes-as-a-share-of-cigarette-price,visible_alt_text
cocoa-bean-yields,hidden_alt_text
number-children-stunted-who,no_change
share-of-population-covered-by-social-protection,download_button
proportion-of-local-breeds-at-risk-of-extinction,download_button
death-rates-cocaine-who,hidden_alt_text
deaths-from-diarrheal-diseases-who,no_change
affiliation-researchers-building-artificial-intelligence-systems-all,no_change
cost-calorie-sufficient-diet-share-food-expenditure,hidden_alt_text
legislative-provisions-for-managing-disaster-risk,no_change
share-of-global-services-exports,hidden_alt_text
chicken-meat-yields-per-animal,no_change
hepatitis-b-number-of-deaths,download_button
deaths-due-to-high-blood-pressure,no_change
the-percentage-of-neonates-protected-at-birth-against-neonatal-tetanus,hidden_alt_text
utilization-of-statins,hidden_alt_text
death-rates-from-unsafe-sex,hidden_alt_text
stomach-cancer-death-rate,hidden_alt_text
prostate-cancer-death-rate-in-men,hidden_alt_text
share-global-cumulative-co2-including-land,visible_alt_text
weighted-carbon-price-ets,visible_alt_text
share-of-men-who-are-smoking,no_change
rate-of-premature-deaths-due-to-alcohol-gbd,hidden_alt_text
death-rate-ambient-air-pollution,no_change
workplace-visitors-covid,hidden_alt_text
proportion-of-forest-area-with-long-term-management-plan,hidden_alt_text
