year,Sweden,France,United Kingdom,Denmark,Germany,Iceland,Burkina Faso
1840,220.74,260.74,,270.65,485.576,414.47,
1841,220.81,262.52,251.1,254.61,487.2,323.75,
1842,242.37,270.09,261.57,254.2,516.432,270.02,
1843,232.66,268.87,258.26,232.25,466.088,421.12,
1844,226.2,251.89,258.97,235.97,466.088,257.66,
1845,214.84,236.87,248.33,249.23,469.336,279.27,
1846,249.73,271.56,281.44,285.26,516.432,608.34,
1847,270.15,258.15,281.62,280.66,464.464,416.02,
1848,212.35,264.83,278.55,280.29,506.688,303.54,
1849,227,301.09,279.91,276.91,462.84,392.44,
1850,217.93,238.14,247.4,242.84,482.328,404.95,
1851,232.28,262.06,262.32,239.92,466.088,439.17,
1852,250.3,265.08,267.19,261.76,483.952,279.4,
1853,257.44,244.45,264.39,278.6,462.84,227.73,
1854,219.7,298,281.86,236.53,472.584,264,
1855,226.19,278.66,261.02,192.74,462.84,289.45,
1856,245.87,268.57,247.31,199.8,410.945,289.77,
1857,309.88,285.45,262.53,241.04,498.568,324.7,
1858,247.98,282.45,280.66,271.8,469.336,350.55,
1859,232.07,347.28,273.92,225.69,526.176,388.44,
1860,196.55,243.26,244.34,217.52,422.24,530.36,
1861,216.8,291.09,258.5,188.2,,438.25,
1862,265.54,258.3,253.68,195.03,,420.7,
1863,236.7,275.21,279.46,195.52,483.952,291.98,
1864,235.43,264.87,271.8,260.1,482.328,326.72,
1865,232.94,283.25,266.94,266.75,539.168,329.94,
1866,221.75,253.28,268.94,239.53,488.824,383.56,
1867,210.61,263.45,248.35,221.75,506.688,330.31,
1868,249.45,288.41,262.91,220.88,498.568,341.3,
1869,271.36,273.62,262.86,208.08,475.832,426.98,
1870,220.52,300.31,268.38,212.57,483.952,287.63,
1871,183.53,343.93,258.1,199.61,535.92,340.66,
1872,186.85,254.87,243.59,190.6,488.824,490.54,
1873,197.36,266.96,235.38,188.75,498.568,290.51,
1874,229.85,241.74,252.81,205.33,482.328,299.04,
1875,232.51,245.72,252.19,226.42,393.19,339.81,
1876,237.33,240.4,238.62,211.66,370.547,302.42,
1877,227.8,237.05,225.11,198.03,365.735,244.13,
1878,226.88,249.49,251.58,202.92,367.324,277.42,
1879,196.95,235.4,228.19,207.31,354.431,230.35,
1880,203.94,257,251.14,231.4,389.962,268.65,
1881,194.9,244.14,209.77,187.03,364.105,364.74,
1882,206.6,248.36,232.6,221.73,370.547,587.55,
1883,197.34,247.89,221.54,189.67,377.02,405.41,
1884,192.29,259.99,233.23,195.01,381.888,248.34,
1885,195,240.22,218.87,176.18,367.324,228.56,
1886,183.42,250.02,230.59,187.63,381.888,217.55,
1887,173.45,242.63,227.13,196.35,352.817,238.85,
1888,160.73,241.77,212.93,211.9,354.431,182.73,
1889,162.46,229.48,227.85,203.9,367.324,130.26,
1890,177.64,250.64,231.98,205.73,367.324,340.67,
1891,178.93,235.51,232.86,206.71,356.052,216.79,
1892,171.02,250.17,227.6,206.98,373.787,135.39,
1893,166.85,249,236.18,221.16,364.105,118.41,
1894,161.49,226.33,207.3,196.22,356.052,161.32,
1895,147,228.19,236.93,183.77,373.787,167.88,
1896,156.25,203.2,225.2,166.21,338.263,150.79,
1897,148.55,206.97,226.29,168.46,360.861,183.09,
1898,140.58,228.46,231.16,164.77,341.521,212.35,
1899,171.69,234.25,232.28,192.95,351.192,136.57,
1900,155.19,223.98,225.46,163.4,372.173,168.2,
1901,157.14,206.61,215.63,170.55,336.635,121.13,
1902,135.63,196.56,199.43,148.84,297.522,184.74,
1903,138.63,194.43,191.24,146.67,331.77,207.99,
1904,127.22,201.66,208.62,139.49,318.76,125.81,
1905,131.81,190.65,185.88,150.69,333.408,148.02,
1906,117.82,200.04,190.09,135.53,300.805,113.73,
1907,112.23,183.96,176.03,136.16,286.026,164.25,
1908,122.15,181.58,175.66,152.48,289.327,228.52,
1909,103.39,167.46,162.94,123.63,276.234,174.15,
1910,108.23,160.14,155.95,122.15,263.542,141.58,
1911,104.17,204.31,189.25,129.61,312.265,117.71,
1912,103.71,156.98,145.84,115.97,236.99,94.83,
1913,97.59,162.99,157.94,113.94,244.312,85.77,
1914,101.32,155.07,155.47,117.68,266.839,142.15,
1915,105.3,165.93,165.75,112.23,238.829,100.06,
1916,101.55,164.24,133.7,128.83,224.056,124.03,
1917,93,181,136.63,122.68,240.66,81.69,
1918,105.92,221.65,171.1,99.09,256.738,79.01,
1919,104.85,177.78,134.76,116.5,233.323,91.51,
1920,97.79,167.82,133.61,119.91,207.233,135.44,
1921,84.64,155.23,114.1,91.28,212.857,93.1,
1922,80.43,119.11,120.07,98.18,205.357,87.71,
1923,73.84,133.98,102.31,101.4,207.233,80.6,
1924,81.24,118.87,114.25,103.1,164.082,99.09,
1925,73.36,127.48,112.54,94.53,158.511,67.33,
1926,72.47,134.21,103.23,98.62,152.956,66.94,
1927,78.46,117.98,103.61,98.83,143.796,116.67,
1928,78.58,126.6,98.08,97.09,129.423,61.99,
1929,73.24,130.23,113.83,93.39,143.796,63.27,
1930,69.49,109.43,89.43,93.81,122.38,63.95,
1931,71.45,104.69,95.38,94.5,118.902,69.48,
1932,64.42,106.23,92.78,84.97,112.004,60.23,
1933,60.97,100.37,87.72,78.21,108.592,54.75,
1934,59.49,97.73,86.47,75.61,90.4,70.24,
1935,58.18,91.85,80.54,87.19,147.44,98.98,
1936,57.3,92.38,83.32,80.9,90.4,67.68,
1937,58.46,89.81,80.48,77.48,87.1955,45.48,
1938,54.29,89.52,73.5,70.46,81.2262,40.86,
1939,49.72,85.66,65.9,66.8,100.185,49.22,
1940,46.86,115.35,77.25,58.85,87.1955,50.15,
1941,47.23,94.15,81.31,64.58,,48.16,
1942,38.21,96.55,68.03,57.44,,67.62,
1943,38.15,101.15,64.65,54.22,,42.85,432.4
1944,41.38,105,59.49,58.91,,49.62,426.1
1945,38.17,136.31,55.1,58.19,,44.56,419.6
1946,32.05,97.32,53.59,54.05,,39.07,414.1
1947,30.53,82.75,53.54,45.8,,32.21,408.2
1948,27.95,65.1,40.16,40.46,,33.99,401.7
1949,27.59,70.16,38.27,38.73,,29.36,395.8
1950,25.41,59.79,35.17,35.45,,27.56,390.3
1951,25.74,58.49,35.65,32.94,,32.55,384.1
1952,24.36,53.64,33.16,34.6,,25.76,379.1
1953,22.69,48.76,32.13,31.97,,23.89,373.1
1954,21.93,47.63,29.62,31.13,,23.6,368.4
1955,21.33,44.93,29.26,29.03,,26.46,362.6
1956,20.98,41.53,28.02,28.41,,22.76,358.5
1957,21.16,39.7,27.64,27.43,,19.76,353.2
1958,19.18,36.61,26.56,25.34,,23.64,348.4
1959,19.64,34.66,26.47,25.98,,18.76,343.7
1960,19.66,31.36,26,25.51,42.748,17.76,339.6
1961,18.93,29.81,25.69,25.22,,22.08,334.4
1962,18.43,29.64,25.79,23.38,,21.5,330.7
1963,18.18,29.66,25.24,23.08,,22.5,325.1
1964,17.2,26.94,23.92,21.83,,21.62,319.9
1965,15.76,24.96,22.81,22.28,,20.44,314.3
1966,15,24.71,22.77,20.18,,16.64,308.5
1967,14.69,23.46,21.52,17.77,29.2,15.95,303.5
1968,14.5,23.39,21.63,18.49,28,16.79,297.5
1969,13.44,22.74,21.11,17.22,26.9,14.23,294.4
1970,13.16,21.16,20.83,16.82,25.8,15.46,290.9
1971,13.02,20.28,20.5,16.49,24.8,17.03,287.9
1972,12.54,18.81,19.74,14.67,23.6,13.89,285.1
1973,11.37,18.16,19.38,13.4,22.6,12.85,282.2
1974,11.22,17.09,18.95,12.75,21.6,13.85,276.5
1975,10.02,16.01,17.99,12.68,20.6,16.8,273.1
1976,9.49,14.91,16.31,11.8,19.4,10.33,268.3
1977,9.37,14.22,15.95,10.38,18.3,12.07,262.6
1978,9.01,13.17,15.54,10.5,17.1,13.98,255.8
1979,9.18,12.5,15.08,10.7,16,8.08,247.9
1980,8.22,12.66,14.17,10.12,15,9.68,241.8
1981,7.8,12.07,12.84,9.39,14.1,7.38,235.7
1982,8.02,11.47,12.51,9.67,13.3,8.16,231
1983,7.99,11.01,11.77,9.32,12.5,7.1,226.2
1984,7.26,10.29,11.18,9.4,11.8,6.27,221.9
1985,8,10.2,11.08,9.57,11.2,7.76,218.1
1986,7.23,9.91,10.95,9.71,10.6,3.81,215.1
1987,7.33,9.46,10.68,10.28,10.1,8.47,212.5
1988,7.03,9.52,10.55,9.46,9.5,7.97,210.8
1989,6.91,9.06,9.87,9.78,9,6.12,210
1990,7.14,8.8,9.34,9.04,8.5,6.66,208.4
1991,7.08,8.76,8.66,8.76,8.1,6.69,206.9
1992,6.18,8.07,7.7,7.91,7.6,6.43,205
1993,5.62,7.63,7.44,6.6,7.2,5.45,203
1994,5.09,7.08,7.18,6.81,6.8,3.65,200.8
1995,4.59,6.17,7.04,6.19,6.5,8.18,198.7
1996,4.54,5.93,7.07,6.57,6.2,4.6,195.6
1997,4.35,5.82,6.76,6.27,6,5.83,191.9
1998,4.2,5.62,6.61,5.88,5.7,4.77,188.7
1999,3.83,5.32,6.68,5.03,5.6,2.35,185.2
2000,3.87,5.49,6.32,6.06,5.4,3.89,181.5
2001,4.36,5.52,6.28,5.86,5.2,3.26,177.9
2002,4.04,5,6,5.32,5.1,3.5,174.7
2003,3.85,4.96,6.27,5.26,5,2.9,171.1
2004,3.6,4.73,5.87,5.3,4.9,3.1,168.2
2005,3.24,4.4,5.82,4.99,4.7,2.99,164.5
2006,3.51,4.51,5.88,4.39,4.6,2.3,161.7
2007,3.14,4.29,5.69,4.64,4.5,3.29,157.3
2008,3.04,4.34,5.53,4.6,4.4,3.59,154.8
2009,3.23,4.33,5.3,3.67,4.2,2.18,151.9
2010,3.08,4.2,5.3,3.9,4.1,3.29,148.8
2011,2.8,4.1,5.1,3.7,4,2.5,146.4
